true_u,pred_u,Points:0
-0,-0.00035558,0
-0.010934,-0.011292,0.01
-0.021867,-0.022227,0.02
-0.032797,-0.033159,0.03
-0.043725,-0.044088,0.04
-0.054648,-0.055012,0.05
-0.065565,-0.06593,0.06
-0.076476,-0.076842,0.07
-0.08738,-0.087745,0.08
-0.098274,-0.098639,0.09
-0.10916,-0.10952,0.1
-0.12003,-0.1204,0.11
-0.13089,-0.13126,0.12
-0.14174,-0.1421,0.13
-0.15258,-0.15293,0.14
-0.1634,-0.16375,0.15
-0.1742,-0.17455,0.16
-0.18499,-0.18534,0.17
-0.19575,-0.1961,0.18
-0.2065,-0.20684,0.19
-0.21723,-0.21757,0.2
-0.22793,-0.22827,0.21
-0.23861,-0.23895,0.22
-0.24927,-0.2496,0.23
-0.25991,-0.26023,0.24
-0.27051,-0.27083,0.25
-0.28109,-0.28141,0.26
-0.29165,-0.29196,0.27
-0.30217,-0.30248,0.28
-0.31266,-0.31297,0.29
-0.32312,-0.32342,0.3
-0.33355,-0.33385,0.31
-0.34395,-0.34424,0.32
-0.35431,-0.35459,0.33
-0.36464,-0.36492,0.34
-0.37493,-0.3752,0.35
-0.38518,-0.38545,0.36
-0.39539,-0.39565,0.37
-0.40557,-0.40582,0.38
-0.4157,-0.41595,0.39
-0.42579,-0.42604,0.4
-0.43584,-0.43608,0.41
-0.44585,-0.44608,0.42
-0.45581,-0.45604,0.43
-0.46573,-0.46595,0.44
-0.4756,-0.47581,0.45
-0.48542,-0.48562,0.46
-0.49519,-0.49539,0.47
-0.50491,-0.50511,0.48
-0.51459,-0.51478,0.49
-0.52421,-0.52439,0.5
-0.53378,-0.53395,0.51
-0.54329,-0.54346,0.52
-0.55276,-0.55292,0.53
-0.56216,-0.56232,0.54
-0.57151,-0.57166,0.55
-0.5808,-0.58095,0.56
-0.59004,-0.59018,0.57
-0.59922,-0.59934,0.58
-0.60833,-0.60845,0.59
-0.61739,-0.6175,0.6
-0.62638,-0.62649,0.61
-0.63531,-0.63541,0.62
-0.64418,-0.64428,0.63
-0.65298,-0.65307,0.64
-0.66172,-0.6618,0.65
-0.67039,-0.67047,0.66
-0.67899,-0.67907,0.67
-0.68753,-0.6876,0.68
-0.696,-0.69606,0.69
-0.70439,-0.70445,0.7
-0.71272,-0.71277,0.71
-0.72098,-0.72102,0.72
-0.72916,-0.7292,0.73
-0.73727,-0.73731,0.74
-0.74531,-0.74534,0.75
-0.75327,-0.7533,0.76
-0.76116,-0.76118,0.77
-0.76897,-0.76899,0.78
-0.77671,-0.77672,0.79
-0.78436,-0.78437,0.8
-0.79194,-0.79195,0.81
-0.79944,-0.79945,0.82
-0.80686,-0.80686,0.83
-0.8142,-0.8142,0.84
