Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.00244355,2.2,0
0.01,0,0,0.01,-0.00018078,2.2,0.00219992
0.02,0,0,0.02,0.00208355,2.2,0.00439961
0.03,0,0,0.03,0.00434796,2.2,0.00659887
0.04,0,0,0.04,0.00661276,2.2,0.00879746
0.05,0,0,0.05,0.00887776,2.2,0.0109952
0.06,0,0,0.06,0.011142,2.2,0.0131918
0.07,0,0,0.07,0.0134058,2.2,0.0153871
0.08,0,0,0.08,0.0156688,2.2,0.0175809
0.09,0,0,0.09,0.0179302,2.2,0.0197729
0.1,0,0,0.1,0.0201904,2.2,0.0219629
0.11,0,0,0.11,0.0224489,2.2,0.0241507
0.12,0,0,0.12,0.0247047,2.2,0.0263361
0.13,0,0,0.13,0.0269584,2.2,0.0285189
0.14,0,0,0.14,0.0292095,2.2,0.0306988
0.15,0,0,0.15,0.0314578,2.2,0.0328757
0.16,0,0,0.16,0.0337023,2.2,0.0350493
0.17,0,0,0.17,0.0359437,2.2,0.0372193
0.18,0,0,0.18,0.0381816,2.2,0.0393857
0.19,0,0,0.19,0.040415,2.2,0.0415481
0.2,0,0,0.2,0.0426443,2.2,0.0437063
0.21,0,0,0.21,0.0448692,2.2,0.0458602
0.22,0,0,0.22,0.0470888,2.2,0.0480095
0.23,0,0,0.23,0.0493037,2.2,0.050154
0.24,0,0,0.24,0.0515129,2.2,0.0522935
0.25,0,0,0.25,0.0537166,2.2,0.0544277
0.26,0,0,0.26,0.0559141,2.2,0.0565565
0.27,0,0,0.27,0.0581055,2.2,0.0586797
0.28,0,0,0.28,0.0602906,2.2,0.0607969
0.29,0,0,0.29,0.0624688,2.2,0.0629081
0.3,0,0,0.3,0.0646402,2.2,0.0650131
0.31,0,0,0.31,0.0668038,2.2,0.0671115
0.32,0,0,0.32,0.0689602,2.2,0.0692032
0.33,0,0,0.33,0.0711089,2.2,0.0712879
0.34,0,0,0.34,0.0732491,2.2,0.0733656
0.35,0,0,0.35,0.0753813,2.2,0.0754359
0.36,0,0,0.36,0.0775045,2.2,0.0774987
0.37,0,0,0.37,0.0796188,2.2,0.0795537
0.38,0,0,0.38,0.0817242,2.2,0.0816008
0.39,0,0,0.39,0.0838202,2.2,0.0836397
0.4,0,0,0.4,0.0859065,2.2,0.0856702
0.41,0,0,0.41,0.0879827,2.2,0.0876922
0.42,0,0,0.42,0.0900485,2.2,0.0897054
0.43,0,0,0.43,0.0921045,2.2,0.0917096
0.44,0,0,0.44,0.0941496,2.2,0.0937047
0.45,0,0,0.45,0.0961835,2.2,0.0956904
0.46,0,0,0.46,0.0982066,2.2,0.0976665
0.47,0,0,0.47,0.100218,2.2,0.0996329
0.48,0,0,0.48,0.102218,2.2,0.101589
0.49,0,0,0.49,0.104206,2.2,0.103535
0.5,0,0,0.5,0.106182,2.2,0.105471
0.51,0,0,0.51,0.108146,2.2,0.107397
0.52,0,0,0.52,0.110097,2.2,0.109311
0.53,0,0,0.53,0.112036,2.2,0.111215
0.54,0,0,0.54,0.113962,2.2,0.113107
0.55,0,0,0.55,0.115874,2.2,0.114989
0.56,0,0,0.56,0.117773,2.2,0.116858
0.57,0,0,0.57,0.119659,2.2,0.118717
0.58,0,0,0.58,0.121531,2.2,0.120563
0.59,0,0,0.59,0.12339,2.2,0.122397
0.6,0,0,0.6,0.125234,2.2,0.124219
0.61,0,0,0.61,0.127064,2.2,0.126028
0.62,0,0,0.62,0.128879,2.2,0.127825
0.63,0,0,0.63,0.13068,2.2,0.129609
0.64,0,0,0.64,0.132466,2.2,0.13138
0.65,0,0,0.65,0.134238,2.2,0.133138
0.66,0,0,0.66,0.135994,2.2,0.134883
0.67,0,0,0.67,0.137735,2.2,0.136614
0.68,0,0,0.68,0.13946,2.2,0.138332
0.69,0,0,0.69,0.14117,2.2,0.140035
0.7,0,0,0.7,0.142863,2.2,0.141725
0.71,0,0,0.71,0.144542,2.2,0.1434
0.72,0,0,0.72,0.146205,2.2,0.145062
0.73,0,0,0.73,0.14785,2.2,0.146708
0.74,0,0,0.74,0.149479,2.2,0.14834
0.75,0,0,0.75,0.151092,2.2,0.149957
0.76,0,0,0.76,0.152689,2.2,0.151559
0.77,0,0,0.77,0.154268,2.2,0.153146
0.78,0,0,0.78,0.15583,2.2,0.154718
0.79,0,0,0.79,0.157375,2.2,0.156274
0.8,0,0,0.8,0.158903,2.2,0.157815
0.81,0,0,0.81,0.160413,2.2,0.15934
0.82,0,0,0.82,0.161906,2.2,0.160849
0.83,0,0,0.83,0.163381,2.2,0.162341
0.84,0,0,0.84,0.164839,2.2,0.163818
0.85,0,0,0.85,0.166278,2.2,0.165278
0.86,0,0,0.86,0.167699,2.2,0.166722
0.87,0,0,0.87,0.169102,2.2,0.168149
0.88,0,0,0.88,0.170486,2.2,0.169559
0.89,0,0,0.89,0.171852,2.2,0.170952
